Frequency (Hz)	Level (dB)
46.875000	-38.132565
93.750000	-33.461754
140.625000	-32.339733
187.500000	-38.397209
234.375000	-42.446632
281.250000	-41.911213
328.125000	-44.082542
375.000000	-46.756126
421.875000	-49.009331
468.750000	-49.527416
515.625000	-47.520607
562.500000	-46.800690
609.375000	-48.681206
656.250000	-50.418045
703.125000	-52.195293
750.000000	-53.007534
796.875000	-53.265652
843.750000	-53.066059
890.625000	-52.004208
937.500000	-50.657986
984.375000	-49.572861
1031.250000	-49.488678
1078.125000	-49.955276
1125.000000	-50.478111
1171.875000	-50.484074
1218.750000	-49.378712
1265.625000	-48.437096
1312.500000	-48.480057
1359.375000	-49.333984
1406.250000	-51.132309
1453.125000	-53.588932
1500.000000	-53.829395
1546.875000	-52.411736
1593.750000	-52.099831
1640.625000	-52.715626
1687.500000	-52.830322
1734.375000	-52.593819
1781.250000	-52.466099
1828.125000	-52.750607
1875.000000	-52.022186
1921.875000	-50.998592
1968.750000	-50.839382
2015.625000	-51.929943
2062.500000	-52.388172
2109.375000	-52.117233
2156.250000	-51.914669
2203.125000	-51.708176
2250.000000	-51.743683
2296.875000	-52.235294
2343.750000	-52.998043
2390.625000	-53.408527
2437.500000	-52.972218
2484.375000	-52.160206
2531.250000	-51.218452
2578.125000	-51.341911
2625.000000	-52.004860
2671.875000	-52.392818
2718.750000	-52.300156
2765.625000	-51.689644
2812.500000	-50.671494
2859.375000	-50.654690
2906.250000	-51.289043
2953.125000	-52.331944
3000.000000	-53.155575
3046.875000	-52.808548
3093.750000	-52.560875
3140.625000	-51.590256
3187.500000	-51.453819
3234.375000	-52.100937
3281.250000	-52.274906
3328.125000	-51.808285
3375.000000	-51.320847
3421.875000	-51.594337
3468.750000	-52.173889
3515.625000	-52.327465
3562.500000	-51.981701
3609.375000	-52.148102
3656.250000	-52.427097
3703.125000	-52.368843
3750.000000	-53.010773
3796.875000	-52.673512
3843.750000	-52.156384
3890.625000	-51.741684
3937.500000	-51.472244
3984.375000	-51.711128
4031.250000	-51.943047
4078.125000	-52.028881
4125.000000	-51.500759
4171.875000	-51.218319
4218.750000	-51.154438
4265.625000	-51.402061
4312.500000	-51.964417
4359.375000	-51.564095
4406.250000	-51.355606
4453.125000	-51.328758
4500.000000	-51.252655
4546.875000	-51.005333
4593.750000	-51.270508
4640.625000	-51.312637
4687.500000	-51.240585
4734.375000	-51.496078
4781.250000	-51.786934
4828.125000	-51.330566
4875.000000	-51.471786
4921.875000	-51.844055
4968.750000	-51.701996
5015.625000	-51.088978
5062.500000	-50.633255
5109.375000	-50.533745
5156.250000	-51.082680
5203.125000	-51.675621
5250.000000	-51.356449
5296.875000	-51.111088
5343.750000	-51.200615
5390.625000	-51.263504
5437.500000	-51.707405
5484.375000	-52.312515
5531.250000	-52.281609
5578.125000	-51.757172
5625.000000	-51.078125
5671.875000	-50.936710
5718.750000	-51.007835
5765.625000	-51.071438
5812.500000	-51.087036
5859.375000	-50.835598
5906.250000	-50.667042
5953.125000	-50.899246
6000.000000	-50.786324
6046.875000	-51.048317
6093.750000	-51.177475
6140.625000	-51.476677
6187.500000	-51.117725
6234.375000	-50.715347
6281.250000	-50.163189
6328.125000	-50.158886
6375.000000	-50.237133
6421.875000	-50.764702
6468.750000	-51.016068
6515.625000	-50.761185
6562.500000	-50.700153
6609.375000	-50.501801
6656.250000	-50.197124
6703.125000	-50.545429
6750.000000	-50.887878
6796.875000	-49.979492
6843.750000	-49.307129
6890.625000	-49.513977
6937.500000	-48.795795
6984.375000	-48.089046
7031.250000	-48.216125
7078.125000	-48.719692
7125.000000	-48.477867
7171.875000	-47.564430
7218.750000	-47.870125
7265.625000	-49.426437
7312.500000	-49.454639
7359.375000	-48.745747
7406.250000	-48.417583
7453.125000	-48.213737
7500.000000	-47.780533
7546.875000	-47.779129
7593.750000	-47.850124
7640.625000	-47.630173
7687.500000	-46.780220
7734.375000	-46.334618
7781.250000	-46.437897
7828.125000	-46.626495
7875.000000	-46.650837
7921.875000	-47.098015
7968.750000	-47.108818
8015.625000	-46.647999
8062.500000	-46.105621
8109.375000	-45.987595
8156.250000	-46.072369
8203.125000	-46.177967
8250.000000	-46.394287
8296.875000	-46.854485
8343.750000	-47.473621
8390.625000	-47.802746
8437.500000	-47.615162
8484.375000	-47.271725
8531.250000	-47.684891
8578.125000	-47.885780
8625.000000	-48.174942
8671.875000	-48.163548
8718.750000	-48.713440
8765.625000	-49.521519
8812.500000	-49.757351
8859.375000	-49.880535
8906.250000	-50.129627
8953.125000	-50.060394
9000.000000	-50.063107
9046.875000	-50.152168
9093.750000	-50.827335
9140.625000	-51.821209
9187.500000	-52.755001
9234.375000	-53.236423
9281.250000	-53.634541
9328.125000	-53.498932
9375.000000	-52.476398
9421.875000	-52.498539
9468.750000	-53.108768
9515.625000	-53.058418
9562.500000	-53.016586
9609.375000	-53.230038
9656.250000	-53.407852
9703.125000	-52.548347
9750.000000	-51.917511
9796.875000	-52.039478
9843.750000	-52.185287
9890.625000	-52.967232
9937.500000	-53.396011
9984.375000	-53.509861
10031.250000	-53.081673
10078.125000	-52.692455
10125.000000	-52.614128
10171.875000	-52.356712
10218.750000	-52.566589
10265.625000	-53.264256
10312.500000	-53.440758
10359.375000	-53.638721
10406.250000	-53.397747
10453.125000	-53.574951
10500.000000	-53.457119
10546.875000	-53.073864
10593.750000	-52.954868
10640.625000	-52.304314
10687.500000	-51.729614
10734.375000	-51.925777
10781.250000	-51.823078
10828.125000	-51.259617
10875.000000	-50.317162
10921.875000	-49.819580
10968.750000	-50.326748
11015.625000	-50.978085
11062.500000	-50.595947
11109.375000	-50.381805
11156.250000	-50.587685
11203.125000	-50.940281
11250.000000	-50.922443
11296.875000	-50.597187
11343.750000	-50.395245
11390.625000	-50.103821
11437.500000	-49.665833
11484.375000	-49.503193
11531.250000	-49.730560
11578.125000	-49.972904
11625.000000	-50.359627
11671.875000	-50.389923
11718.750000	-50.510719
11765.625000	-50.572102
11812.500000	-50.428944
11859.375000	-50.105583
11906.250000	-49.847065
11953.125000	-49.815754
